feature__id,eventtype,alertlevel,country,eventname,glide,ring_index,vertex_index,x,y
,EQ,Green,Indonesia,,,0,0,102.2168,-4.2534
,EQ,Green,Indonesia,,,0,0,128.0869,-0.6328
,EQ,Green,South Sandwich Islands Region,,,0,0,-24.1577,-57.8245
,FL,Orange,Nigeria,,,0,0,12.3881887,9.5129772
,FL,Green,Philippines,,,0,0,124.9967013,5.8610055
,EQ,Green,Russia,,,0,0,160.8766,53.3959
,EQ,Green,Taiwan,,,0,0,121.5584,23.9637
,EQ,Green,Russia,,,0,0,158.9869,52.4461
,EQ,Green,Peru,,,0,0,-75.4684,-15.9772
,EQ,Green,Vanuatu,,,0,0,168.1561,-15.643
,EQ,Green,Japan,,,0,0,129.3903,29.2431
,FL,Green,Senegal,,,0,0,-12.4568066,14.9049666
,EQ,Green,Afghanistan,,,0,0,69.6408,37.3857
,EQ,Green,Papua New Guinea,,,0,0,146.767,-6.7837
,EQ,Green,Saudi Arabia,,,0,0,40.1748,17.7926
,EQ,Green,Philippines,,,0,0,126.5212,10.1681
,EQ,Green,Philippines,,,0,0,126.422,5.4976
,EQ,Green,Russia,,,0,0,149.5408,45.1659
,EQ,Green,"Off East Coast Of Honshu, Japan",,,0,0,144.1112,37.6701
,EQ,Green,"Off East Coast Of Honshu, Japan",,,0,0,144.1149,37.8333
,FL,Green,Panama,,,0,0,-82.3853832001199,8.74074955
,FL,Green,Vietnam,,,0,0,106.405784844222,22.2808894806321
,FL,Green,El Salvador,,,0,0,-89.17374,13.7126863
,EQ,Green,Japan,,,0,0,141.3033,37.5675
,EQ,Green,Philippines,,,0,0,122.1833,9.9813
,EQ,Green,Indonesia,,,0,0,127.3639,3.3406
,EQ,Green,Russia,,,0,0,159.4889,51.578
,EQ,Green,"Off East Coast Of Honshu, Japan",,,0,0,144.0981,37.8565
,EQ,Green,Russia,,,0,0,160.187,52.4433
,EQ,Green,Papua New Guinea,,,0,0,148.4676,-8.0904
,EQ,Green,Mexico,,,0,0,-116.076,31.325
,EQ,Green,"Off East Coast Of Honshu, Japan",,,0,0,144.2022,37.7601
,EQ,Green,"Off East Coast Of Honshu, Japan",,,0,0,144.044,37.7685
